rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing CTAs,HIGH,Homepage,Medium,2-5 days,6,10,yes,conversion,"Multiple competing calls-to-action on the homepage create ambiguity about the primary next step, diluting conversion focus.","Multiple competing calls-to-action on the homepage create ambiguity about the primary next step, diluting conversion focus.",h1: Reliable Internet That Works Anywhere in the U.S.; cta: Single primary CTA: CHECK COVERAGE; notes: Consolidate the primary CTA to a single action and relegate secondary actions to supporting roles or lower on the page.,CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_competing_ctas.html
2,Generic value proposition,HIGH,Homepage,Low,0.5-2 days,6,10,yes,conversion,The homepage headline claims reliability and nationwide coverage but does not explain what the product is or why it is better than alternatives.,The homepage headline claims reliability and nationwide coverage but does not explain what the product is or why it is better than alternatives.,"h1: Unlimited Wireless Internet for RVs, Rural Homes & Travelers; notes: Rewrite hero headline and subcopy to explicitly state that Nomad sells unlimited-data wireless internet for RVs, rural homes, and travelers, and lead with a concrete benefit such as no contracts or no hard data caps.",Reliable Internet That Works Anywhere in the U.S. | Internet That Just Works,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_generic_value_proposition.html
3,Pricing page error,URGENT,Pricing & Plans,Medium,2-5 days,5,10,yes,conversion,"The /pricing page fails to render, breaking the path for users seeking plan details before conversion.","The /pricing page fails to render, breaking the path for users seeking plan details before conversion.","notes: Investigate and fix the /pricing page so it loads correctly, or redirect users to /plans which contains the same pricing information.","/pricing"": ""error""",Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_3_pricing_page_error.html
4,Pricing lacks plan context,HIGH,Pricing & Plans,Low,0.5-2 days,5,10,yes,conversion,"Prices appear as bare dollar figures without plan names, features, or differentiators, so visitors cannot judge which option fits them or why it is worth the cost.","Prices appear as bare dollar figures without plan names, features, or differentiators, so visitors cannot judge which option fits them or why it is worth the cost.","notes: Pair each price with a plan name, headline feature, and a one-line benefit (e.g., 'Best for full-time RVers — truly unlimited data') so the offer is self-explanatory above the fold.",$99.95 /month | $129.95 /month | $0.00 (one-time) | $99.99 (one-time),"Message Clarity, Pricing & Cost Transparency",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_pricing_lacks_plan_context.html
5,One-time fees without context,HIGH,Pricing & Plans,Low,0.5-2 days,5,10,yes,trust,"One-time costs appear alongside monthly prices without explanation of what they cover, potentially surprising visitors at checkout.","One-time costs appear alongside monthly prices without explanation of what they cover, potentially surprising visitors at checkout.","notes: Add clear labels next to one-time fees explaining what they include (e.g., equipment, activation, shipping) and when they apply.",A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”.,Pricing & Cost Transparency,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_one_time_fees_without_context.html
6,Duplicate forms with identical submit,MEDIUM,Pricing & Plans,Low,0.5-2 days,5,10,yes,conversion,Duplicate forms with identical CONTINUE submit buttons on multiple pages create a redundant or confusing step in the funnel.,Duplicate forms with identical CONTINUE submit buttons on multiple pages create a redundant or confusing step in the funnel.,"cta: Single form visible at a time or differentiated submit labels; notes: Ensure only one form is visible at a time in the primary path, or differentiate the submit labels to clarify which form the user is interacting with.",,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_duplicate_forms_with_identical_submit.html
7,Inconsistent price formatting,MEDIUM,Pricing & Plans,Medium,2-5 days,5,10,yes,trust,"Prices appear with inconsistent formatting and duplicate values across pages, which can confuse visitors comparing plans.","Prices appear with inconsistent formatting and duplicate values across pages, which can confuse visitors comparing plans.","notes: Standardize price display format (e.g., always use $X.XX/month) across all pages and remove duplicate price entries.",Prices shown on the page: $99.95/month $129.95/month $99.95/Mo $99.95/month $129.95/month $99.95 | Prices shown on the page: $99.95 /month $129.95 /month $99.95/mo $0.00 $99.95 $99.99,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_inconsistent_price_formatting.html
8,Price anchoring without plan details,MEDIUM,Pricing & Plans,Medium,2-5 days,5,10,yes,conversion,"Monthly prices are displayed prominently but without accompanying plan names or feature breakdowns, making it hard to compare value.","Monthly prices are displayed prominently but without accompanying plan names or feature breakdowns, making it hard to compare value.",notes: Pair each price with its plan name and a concise feature list so visitors can evaluate options before proceeding.,A section heading reads “$99.95 /month”. | A section heading reads “$129.95 /month”.,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_price_anchoring_without_plan_details.html
9,Missing security trust markers,HIGH,Forms & Signup,Medium,2-5 days,4,10,yes,trust,"No visible security badges, encryption mentions, or trust seals appear where users enter address and payment details, increasing submission anxiety.","No visible security badges, encryption mentions, or trust seals appear where users enter address and payment details, increasing submission anxiety.",notes: Add recognizable security badges and a short privacy reassurance line directly beside the coverage-check form to reduce submission anxiety.,,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_missing_security_trust_markers.html
10,Vague guarantee signal,MEDIUM,Rural-Internet Page,Low,0.5-2 days,4,10,yes,trust,"A confidence-related heading exists but offers no explicit terms, making the promise unconvincing at the point of purchase.","A confidence-related heading exists but offers no explicit terms, making the promise unconvincing at the point of purchase.","notes: Expand the confidence section to state a concrete guarantee, such as a money-back or satisfaction policy, with clear terms visible near the checkout CTA.",A section heading reads “SHOP WITH CONFIDENCE”.,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_vague_guarantee_signal.html
